broad	ccle_name	sanger	alt_ccle	alt_broad
ACH-000173	JHUEM3_ENDOMETRIUM	SIDM01728		
ACH-000174	CAL62_THYROID	SIDM00931		
ACH-000175	TE159T_FIBROBLAST	SIDM01761		
ACH-000176	LOUNH91_LUNG	SIDM00341		
ACH-000177	NCIH660_PROSTATE	SIDM01123		
ACH-000178	HS766T_PANCREAS	SIDM00664		
ACH-000179	NCIH1618_LUNG	SIDM01675		
ACH-000180	HS839T_FIBROBLAST	SIDM01724		
ACH-000181	SCC9_UPPER_AERODIGESTIVE_TRACT	SIDM01080		
ACH-000182	SNU869_BILIARY_TRACT	SIDM00159		
ACH-000183	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00312		
ACH-000184	HS343T_FIBROBLAST	SIDM01590		
ACH-000185	HS737T_FIBROBLAST	SIDM01703		
ACH-000186	NCIH2444_LUNG	SIDM00723		
ACH-000187	CORL311_LUNG	SIDM00509		
ACH-000188	SCC25_UPPER_AERODIGESTIVE_TRACT	SIDM01082		
ACH-000189	RCC10RGB_KIDNEY	SIDM00235		
ACH-000190	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01063		
ACH-000191	BHT101_THYROID	SIDM00987		
ACH-000192	MFE280_ENDOMETRIUM	SIDM00335		
ACH-000193	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01006		
ACH-000194	HS934T_FIBROBLAST	SIDM01741		
ACH-000195	SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00397		
ACH-000196	HCC1599_BREAST	SIDM00877		
ACH-000197	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00370		
ACH-000198	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00277		
ACH-000199	HS255T_FIBROBLAST	SIDM01613		
ACH-000200	NMCG1_CENTRAL_NERVOUS_SYSTEM	SIDM00575		
ACH-000201	A204_SOFT_TISSUE	SIDM00798		
ACH-000202	COLO320_LARGE_INTESTINE	SIDM00071		
ACH-000203	NH6_AUTONOMIC_GANGLIA	SIDM01391		
